nama_provinsi,tahun,luas_panen,produktivitas,produksi
Prov. Nanggroe Aceh Darussalam,1993,17941,21.7,38924
Prov. Sumatera Utara,1993,122039,22.23,271298
Prov. Sumatera Barat,1993,12713,22,27969
Prov. Riau,1993,10223,21.23,21699
Prov. Jambi,1993,6619,15.42,10206
Prov. Sumatera Selatan,1993,22853,21.02,48036
Prov. Bengkulu,1993,20139,18.1,36449
Prov. Lampung,1993,252827,22.91,579141
Prov. Kepulauan Bangka Belitung,1993,0,0,0
Prov. Kepulauan Riau,1993,0,0,0
Prov. DKI Jakarta,1993,40,13,52
Prov. Jawa Barat,1993,112988,24.27,274181
Prov. Jawa Tengah,1993,489673,25.33,1240472
Prov. D I Yogyakarta,1993,37726,20.86,78701
Prov. Jawa Timur,1993,1012051,23.35,2363252
Prov. Banten,1993,0,0,0
Prov. Bali,1993,51038,20.72,105759
Prov. Nusa Tenggara Barat,1993,26295,19.64,51650
Prov. Nusa Tenggara Timur,1993,206058,17.78,366347
Prov. Kalimantan Barat,1993,18331,13.29,24355
Prov. Kalimantan Tengah,1993,2145,13.2,2831
Prov. Kalimantan Selatan,1993,15137,12.35,18690
Prov. Kalimantan Timur,1993,7676,15.72,12070
Prov. Sulawesi Utara,1993,62350,19.9,124053
Prov. Sulawesi Tengah,1993,12814,11.43,14647
Prov. Sulawesi Selatan,1993,296481,18,533577
Prov. Sulawesi Tenggara,1993,43402,18.84,81769
Prov. Gorontalo,1993,0,0,0
Prov. Sulawesi Barat,1993,0,0,0
Prov. Maluku,1993,18814,13.32,25069
Prov. Maluku Utara,1993,0,0,0
Prov. Papua Barat,1993,0,0,0
Prov. Papua,1993,3093,12.99,4017
Prov. Nanggroe Aceh Darussalam,1994,13105,21.81,28578
Prov. Sumatera Utara,1994,140941,22.13,311918
Prov. Sumatera Barat,1994,15787,22.86,36083
Prov. Riau,1994,15484,21.49,33274
Prov. Jambi,1994,7825,14.49,11337
Prov. Sumatera Selatan,1994,20014,18.14,36299
Prov. Bengkulu,1994,17963,17.98,32303
Prov. Lampung,1994,249581,22.56,563069
Prov. Kepulauan Bangka Belitung,1994,0,0,0
Prov. Kepulauan Riau,1994,0,0,0
Prov. DKI Jakarta,1994,15,13.33,20
Prov. Jawa Barat,1994,113486,24.14,273919
Prov. Jawa Tengah,1994,492630,25.45,1253931
Prov. D I Yogyakarta,1994,63139,21.44,135356
Prov. Jawa Timur,1994,1117789,23.58,2636015
Prov. Banten,1994,0,0,0
Prov. Bali,1994,40251,21.19,85286
Prov. Nusa Tenggara Barat,1994,27772,18.6,51647
Prov. Nusa Tenggara Timur,1994,231247,17.25,398797
Prov. Kalimantan Barat,1994,14947,12.77,19080
Prov. Kalimantan Tengah,1994,3955,13.84,5475
Prov. Kalimantan Selatan,1994,14972,12.53,18755
Prov. Kalimantan Timur,1994,8113,15,12169
Prov. Sulawesi Utara,1994,68052,19.94,135693
Prov. Sulawesi Tengah,1994,11869,11.56,13716
Prov. Sulawesi Selatan,1994,300797,18.59,559093
Prov. Sulawesi Tenggara,1994,39255,18.73,73513
Prov. Gorontalo,1994,0,0,0
Prov. Sulawesi Barat,1994,0,0,0
Prov. Maluku,1994,14827,15.25,22616
Prov. Maluku Utara,1994,0,0,0
Prov. Papua Barat,1994,0,0,0
Prov. Papua,1994,3562,11.8,4204
Prov. Nanggroe Aceh Darussalam,1995,20639,21.77,44921
Prov. Sumatera Utara,1995,165230,22.49,371578
Prov. Sumatera Barat,1995,20626,23.33,48115
Prov. Riau,1995,10158,21.12,21455
Prov. Jambi,1995,9499,14.96,14213
Prov. Sumatera Selatan,1995,39165,21.12,82707
Prov. Bengkulu,1995,28755,18.16,52232
Prov. Lampung,1995,363678,23.18,843177
Prov. Kepulauan Bangka Belitung,1995,0,0,0
Prov. Kepulauan Riau,1995,0,0,0
Prov. DKI Jakarta,1995,13,13.08,17
Prov. Jawa Barat,1995,136280,24.37,332179
Prov. Jawa Tengah,1995,672077,25.41,1707516
Prov. D I Yogyakarta,1995,68897,21.8,150204
Prov. Jawa Timur,1995,1187136,23.76,2820868
Prov. Banten,1995,0,0,0
Prov. Bali,1995,42357,21.44,90800
Prov. Nusa Tenggara Barat,1995,29556,17.66,52197
Prov. Nusa Tenggara Timur,1995,254176,16.38,416362
Prov. Kalimantan Barat,1995,20088,12.9,25922
Prov. Kalimantan Tengah,1995,4648,14.95,6951
Prov. Kalimantan Selatan,1995,13964,12.64,17645
Prov. Kalimantan Timur,1995,8276,16.99,14062
Prov. Sulawesi Utara,1995,79745,20.62,164431
Prov. Sulawesi Tengah,1995,19029,13.62,25925
Prov. Sulawesi Selatan,1995,343087,21.54,738935
Prov. Sulawesi Tenggara,1995,39344,20.3,79858
Prov. Gorontalo,1995,0,0,0
Prov. Sulawesi Barat,1995,0,0,0
Prov. Maluku,1995,14068,9.22,12966
Prov. Maluku Utara,1995,0,0,0
Prov. Papua Barat,1995,0,0,0
Prov. Papua,1995,5209,14.64,7627
Prov. Nanggroe Aceh Darussalam,1996,19677,23.16,45566
Prov. Sumatera Utara,1996,174000,22.91,398707
Prov. Sumatera Barat,1996,23676,22.55,53387
Prov. Riau,1996,17953,21.64,38853
Prov. Jambi,1996,11975,14.94,17895
Prov. Sumatera Selatan,1996,40307,21.12,85141
Prov. Bengkulu,1996,29708,18.16,53940
Prov. Lampung,1996,403264,23.27,938395
Prov. Kepulauan Bangka Belitung,1996,0,0,0
Prov. Kepulauan Riau,1996,0,0,0
Prov. DKI Jakarta,1996,14,19.29,27
Prov. Jawa Barat,1996,132538,25.97,344242
Prov. Jawa Tengah,1996,614928,27.69,1702890
Prov. D I Yogyakarta,1996,65773,21.8,143394
Prov. Jawa Timur,1996,1269529,26.92,3417489
Prov. Banten,1996,0,0,0
Prov. Bali,1996,42294,21.68,91704
Prov. Nusa Tenggara Barat,1996,34570,18.94,65472
Prov. Nusa Tenggara Timur,1996,252808,21.83,551855
Prov. Kalimantan Barat,1996,25003,14.92,37307
Prov. Kalimantan Tengah,1996,6685,15.15,10127
Prov. Kalimantan Selatan,1996,21598,13.14,28372
Prov. Kalimantan Timur,1996,6529,16.57,10819
Prov. Sulawesi Utara,1996,77606,22.78,176775
Prov. Sulawesi Tengah,1996,18441,20.31,37453
Prov. Sulawesi Selatan,1996,337148,24.98,842332
Prov. Sulawesi Tenggara,1996,43025,19.46,83744
Prov. Gorontalo,1996,0,0,0
Prov. Sulawesi Barat,1996,0,0,0
Prov. Maluku,1996,11076,15.05,16670
Prov. Maluku Utara,1996,0,0,0
Prov. Papua Barat,1996,0,0,0
Prov. Papua,1996,5334,15.47,8251
Prov. Nanggroe Aceh Darussalam,1997,25312,23.18,58679
Prov. Sumatera Utara,1997,198246,23.19,459715
Prov. Sumatera Barat,1997,20765,22.63,47001
Prov. Riau,1997,16320,21.6,35253
Prov. Jambi,1997,10524,16.88,17764
